"Name","Symbol","Auto"
"Tata Investment Corporation Ltd.","TATAINVEST",1
"Tata Motors Ltd.","TATAMOTORS",1
"Tata Power Co. Ltd.","TATAPOWER",1
"Tata SSL Ltd.","SPECIALSTL",1
"Tata Sponge Iron Ltd.","TATASPONGE",1
"Tata Steel Ltd.","TATASTEEL",1
"Thermax Ltd.","THERMAX",1
"Thiru Arooran Sugars Ltd.","THIRUSUGAR",1
"Thomas Cook (India) Ltd.","THOMASCOOK",1
"Timken India Ltd.","TIMKEN",1
"Titan Industries Ltd.","TITAN",1
"Torrent Pharmaceuticals Ltd.","TORNTPHARM",1
"Torrent Power AEC Ltd.","TORRENTAEC",1
"Trent Ltd.","TRENT",1
"Trigyn Technologies Ltd.","TRIGYN",1
"Triveni Engineering & Industries Ltd. (Old)","TRIVENI",1
"Tube Investments of India Ltd.","TUBEINVEST",1
"UCAL Fuel Systems Ltd.","UCALFUEL",1
"UFLEX Ltd.","UFLEX",1
"Unitech Ltd.","UNITECH",1
"Usha Martin Ltd.","USHAMART",1
"Uttam Galva Steels Ltd.","UTTAMSTL",1
"V.I.P. Industries Ltd.","VIPIND",1
"VLS Finance Ltd.","VLSFINANCE",1
"VST Industries Ltd.","VSTIND",1
"Value Industries Ltd.","VALUEIND",1
"Vardhman Holdings Ltd.","VHL",1
"Vardhman Textiles Ltd.","VTL",1
"Varun Shipping Co. Ltd.","VARUNSHIP",1
"Vesuvius India Ltd.","VESUVIUS",1
