Name,Symbol,Auto
Zandu Realty Ltd.,01/08/1998,0
Zee Entertainment Enterprises Ltd.,01/08/1998,0
Zensar Technolgies Ltd.,01/08/1998,0
Zuari Industries Ltd.,ZUARIAGRO,1
CMC Ltd.,CMC,1
Areva T&D India Ltd.,AREVAT&D,1
Avery India Ltd.,03/02/1999,0
Chettinad Cement Corporation Ltd.,03/02/1999,0
Cholamandalam Investment and Finance Company Ltd.,03/02/1999,0
Corporation Bank,CORPBANK,1
Eicher Ltd.,03/02/1999,0
Eveready Industries India Ltd.,03/02/1999,0
ICICI Bank Ltd.,ICICIBANK,1
ING Vysya Bank Ltd.,INGVYSYABK,1
Insilco Ltd. - Sus,03/02/1999,0
Kohinoor Foods Ltd.,KOHINOOR,1
Malwa Cotton Spinning Mills Ltd.,03/02/1999,0
Punjab Communications Ltd.,03/02/1999,0
Sundaram Finance Ltd.,SUNDARMFIN,1
Tourism Finance Corporation of India Ltd.,03/02/1999,0
Vardhman Polytex Ltd.,03/02/1999,0
Aurobindo Pharma Ltd.,AUROPHARMA,1
Moser Baer India Ltd.,17/03/1999,0
National Aluminium Co. Ltd.,29/04/1999,0
Amara Raja Batteries Ltd.,AMARAJABAT,1
Ashima Ltd.,26/05/1999,0
Global Trust Bank Ltd.,26/05/1999,0
Gujarat Mineral Development Corporation Ltd.,26/05/1999,0
Mangalore Refinery & Petrochemicals Ltd.,26/05/1999,0
PVP Ventures Ltd.,PVP,1
Rayban Sun Optics India Ltd.,26/05/1999,0
Sri Vishnu Cement Ltd.- Merged,26/05/1999,0
Subros Ltd.,26/05/1999,0
Vashisti Detergents Ltd.,26/05/1999,0
e-Serve International Ltd.,26/05/1999,0
Archies Ltd.,08/09/1999,0
Birla Ericsson Optical Ltd.,08/09/1999,0
Blue Dart Express Ltd.,BLUEDART,1
Elgi Rubber Company Ltd. - Suspended,08/09/1999,0
KRONE Communications Ltd.,08/09/1999,0
Mirza International Ltd.,08/09/1999,0
Nilkamal Ltd.,NILKAMAL,1
Paper Products Ltd.,08/09/1999,0
Pentafour Products Ltd.,08/09/1999,0
Punjab Anand Lamp Industries Ltd.,08/09/1999,0
Rallis India Ltd.,RALLIS,1
Silverline Technologies Ltd. -Sus,08/09/1999,0
TVS Electronics Ltd. - Merge,08/09/1999,0
Ciba Speciality Chemicals (India) Ltd.,08/12/1999,0
DSQ Software Ltd.,08/12/1999,0
Gulf Oil India Ltd.-Old,08/12/1999,0
IndusInd Bank Ltd.,INDUSINDBK,1
PSI Data Systems Ltd.,08/12/1999,0
Pharmacia Healthcare Ltd.,08/12/1999,0
Rain Calcining Ltd.,08/12/1999,0
Unichem Laboratories Ltd.,UNICHEMLAB,1
Bayer Cropscience India Ltd. -Erstwhile,12/01/2000,0
